rank,name,file_path,function_name,description,cli_accessible,api_accessible,business_value,usage_frequency,complexity_score,priority_score,recommended_interface,command_suggestion,endpoint_suggestion,test_template
293,cmd_autonomous_emergency_stop,ai/cli/fresh.py,cmd_autonomous_emergency_stop,Activate emergency stop.,,False,5,8,6,44,cli,cmd autonomous emergency stop,POST /api/v1/cmd-autonomous-emergency-stop,
294,cmd_autonomous_clear_emergency,ai/cli/fresh.py,cmd_autonomous_clear_emergency,Clear emergency stop.,,False,5,8,6,44,cli,cmd autonomous clear emergency,POST /api/v1/cmd-autonomous-clear-emergency,
295,cmd_feature_hook_missing,ai/cli/fresh.py,cmd_feature_hook_missing,Hook up features that are implemented but not accessible.,,False,5,8,6,44,cli,cmd feature hook missing,POST /api/v1/cmd-feature-hook-missing,
296,build_enhanced_agency,ai/enhanced_agency.py,build_enhanced_agency,Construct the enhanced agency with intelligent memory-powered agents.,,False,9,4,4,42,cli,build enhanced agency,POST /api/v1/build-enhanced-agency,
297,StatusCoordinator,ai/coordination/status.py,,Coordinates status updates and notifications across agent teams.,False,False,9,4,4,42,cli,StatusCoordinator,POST /api/v1/StatusCoordinator,
298,GitHubPRIntegration,ai/integration/github_pr.py,,Simplified GitHub integration for autonomous PR creation.,False,False,9,4,4,42,cli,GitHubPRIntegration,POST /api/v1/GitHubPRIntegration,
299,create_feature_branch,ai/integration/github_pr.py,create_feature_branch,Create a feature branch for agent work.,,False,9,4,4,42,cli,create feature branch,POST /api/v1/feature-branch,
300,create_pull_request,ai/integration/github_pr.py,create_pull_request,Create a pull request.,,False,9,4,4,42,cli,create pull request,POST /api/v1/pull-request,
301,add_pr_comment,ai/integration/github_pr.py,add_pr_comment,Add a comment to a pull request.,,False,9,4,4,42,cli,add pr comment,POST /api/v1/pr-comment,
302,GitHubIntegration,ai/integration/github.py,,Manages GitHub integration for automated PR creation from agent work.,False,False,9,4,4,42,cli,GitHubIntegration,POST /api/v1/GitHubIntegration,
303,get_github_integration,ai/integration/github.py,get_github_integration,Get the global GitHub integration instance.,,False,9,4,4,42,cli,github integration,GET /api/v1/github-integration,
304,WorkflowOrchestrator,ai/workflows/__init__.py,,Main orchestrator for the Advanced Agent Workflow System.,False,False,9,4,4,42,cli,WorkflowOrchestrator,POST /api/v1/WorkflowOrchestrator,
305,AgentSpawnNode,ai/workflows/types.py,,Node for spawning new agents during workflow execution.,False,False,9,4,4,42,cli,AgentSpawnNode,POST /api/v1/AgentSpawnNode,
306,AgentExecuteNode,ai/workflows/types.py,,Node for executing tasks with spawned agents.,False,False,9,4,4,42,cli,AgentExecuteNode,POST /api/v1/AgentExecuteNode,
307,WorkflowExecutionEngine,ai/workflows/engine.py,,Advanced execution engine for agent workflows.,False,False,9,4,4,42,cli,WorkflowExecutionEngine,POST /api/v1/WorkflowExecutionEngine,
308,spawn_agent,ai/workflows/language.py,spawn_agent,Add an agent spawn node.,,False,9,4,4,42,cli,agent spawn,POST /api/v1/spawn-agent,
309,execute_agent,ai/workflows/language.py,execute_agent,Add an agent execution node.,,False,9,4,4,42,cli,agent execute,POST /api/v1/execute-agent,
310,FreshAgentSystem,ai/system/coordinator.py,,Coordinates initialization and lifecycle of all agent system components.,False,False,9,4,4,42,cli,FreshAgentSystem,POST /api/v1/FreshAgentSystem,
311,get_system,ai/system/coordinator.py,get_system,Get the global Fresh Agent System instance.,,False,9,4,4,42,cli,system,GET /api/v1/system,
312,FreshAgentSystem,ai/system/init.py,,Coordinates initialization and lifecycle of all agent system components.,False,False,9,4,4,42,cli,FreshAgentSystem,POST /api/v1/FreshAgentSystem,
313,get_system,ai/system/init.py,get_system,Get the global Fresh Agent System instance.,,False,9,4,4,42,cli,system,GET /api/v1/system,
314,monitor_health,ai/autonomous/safety.py,monitor_health,Monitor system health and return status.,,False,9,4,4,42,cli,monitor health,POST /api/v1/monitor-health,
315,SelfDocumentingLoopService,ai/services/self_documenting_loop.py,,Service that continuously monitors and documents codebase features.,False,False,9,4,4,42,cli,SelfDocumentingLoopService,POST /api/v1/SelfDocumentingLoopService,
316,stop_monitoring,ai/services/self_documenting_loop.py,stop_monitoring,Stop the self-documenting loop monitoring.,,False,9,4,4,42,cli,monitor stop ing,POST /api/v1/stop-monitoring,
317,process_task,ai/loop/dev_loop.py,process_task,Process a single task with appropriate agent.,,False,9,4,4,42,cli,process task,POST /api/v1/process-task,
318,RepoScanner,ai/loop/repo_scanner.py,,Scans repository for issues that agents can fix.,False,False,9,4,4,42,cli,RepoScanner,POST /api/v1/RepoScanner,
319,AgentTypeAnalysis,ai/analytics/performance.py,,Analysis results for a specific agent type.,False,False,9,4,4,42,cli,AgentTypeAnalysis,POST /api/v1/AgentTypeAnalysis,
320,PerformanceAnalytics,ai/analytics/performance.py,,Tracks and analyzes agent performance for optimization.,False,False,9,4,4,42,cli,PerformanceAnalytics,POST /api/v1/PerformanceAnalytics,
321,record_spawn_metrics,ai/analytics/performance.py,record_spawn_metrics,Record metrics for agent spawning.,,False,9,4,4,42,cli,record spawn metrics,POST /api/v1/record-spawn-metrics,
322,record_execution_metrics,ai/analytics/performance.py,record_execution_metrics,Record metrics for agent execution.,,False,9,4,4,42,cli,record execution metrics,POST /api/v1/record-execution-metrics,
323,record_completion_metrics,ai/analytics/performance.py,record_completion_metrics,Record metrics for agent completion.,,False,9,4,4,42,cli,record completion metrics,POST /api/v1/record-completion-metrics,
324,AgentActivitySimulator,scripts/demo-agent-activity.py,,Simulates realistic agent activity patterns for monitoring validation.,False,False,9,4,4,42,cli,AgentActivitySimulator,POST /api/v1/AgentActivitySimulator,
325,main,scripts/demo-agent-activity.py,main,Run the agent activity simulation demo.,,False,9,4,4,42,cli,main,POST /api/v1/main,
326,simulate_agent_thinking,scripts/demo-agent-activity.py,simulate_agent_thinking,Simulate an agent thinking/processing.,,False,9,4,4,42,cli,agent simulate  thinking,POST /api/v1/simulate-agent-thinking,
327,simulate_memory_operations,scripts/demo-agent-activity.py,simulate_memory_operations,Simulate memory read/write operations.,,False,9,4,4,42,cli,memory simulate  operations,POST /api/v1/simulate-memory-operations,
328,simulate_agent_flow,scripts/demo-agent-activity.py,simulate_agent_flow,Simulate work flowing from one agent to another.,,False,9,4,4,42,cli,agent simulate  flow,POST /api/v1/simulate-agent-flow,
329,show_activity_summary,scripts/demo-agent-activity.py,show_activity_summary,Display current activity levels and recent events.,,False,9,4,4,42,cli,show activity summary,POST /api/v1/show-activity-summary,
330,main,scripts/agent_heartbeat.py,main,Function main,,False,9,4,4,42,cli,main,POST /api/v1/main,
331,patch_firestore_memory,scripts/apply_firestore_cost_tracking.py,patch_firestore_memory,Patch the basic Firestore memory store with cost tracking.,,False,9,4,4,42,cli,memory patch firestore,POST /api/v1/patch-firestore-memory,
332,patch_enhanced_firestore,scripts/apply_firestore_cost_tracking.py,patch_enhanced_firestore,Patch the enhanced Firestore memory store with cost tracking.,,False,9,4,4,42,cli,patch enhanced firestore,POST /api/v1/patch-enhanced-firestore,
333,patch_firestore_store,scripts/apply_firestore_cost_tracking.py,patch_firestore_store,Patch the production Firestore memory store with cost tracking.,,False,9,4,4,42,cli,patch firestore store,POST /api/v1/patch-firestore-store,
334,main,scripts/apply_firestore_cost_tracking.py,main,Apply cost tracking to all Firestore memory systems.,,False,9,4,4,42,cli,main,POST /api/v1/main,
335,get_github_workflows,scripts/inventory_codebase.py,get_github_workflows,Scan GitHub workflows.,,False,9,4,4,42,cli,github workflows,GET /api/v1/github-workflows,
336,get_agent_classes,scripts/inventory_codebase.py,get_agent_classes,Find all agent class definitions.,,False,9,4,4,42,cli,agent classes,GET /api/v1/agent-classes,
337,get_memory_implementations,scripts/inventory_codebase.py,get_memory_implementations,Find memory store implementations.,,False,9,4,4,42,cli,memory implementations,GET /api/v1/memory-implementations,
338,normalize_tag,ai/tools/intent.py,normalize_tag,Function normalize_tag,,False,5,7,4,41,cli,normalize tag,POST /api/v1/normalize-tag,
339,BaseTool,ai/tools/intent.py,,Class BaseTool,False,False,5,7,4,41,cli,BaseTool,POST /api/v1/BaseTool,
340,BaseTool,ai/tools/dod_checker.py,,Class BaseTool,False,False,5,7,4,41,cli,BaseTool,POST /api/v1/BaseTool,
341,BaseTool,ai/tools/release_notes.py,,Class BaseTool,False,False,5,7,4,41,cli,BaseTool,POST /api/v1/BaseTool,
342,BaseTool,ai/tools/adr_logger.py,,Class BaseTool,False,False,5,7,4,41,cli,BaseTool,POST /api/v1/BaseTool,
343,BaseTool,ai/tools/docs_tools.py,,Class BaseTool,False,False,5,7,4,41,cli,BaseTool,POST /api/v1/BaseTool,
344,BaseTool,ai/tools/next_steps.py,,Class BaseTool,False,False,5,7,4,41,cli,BaseTool,POST /api/v1/BaseTool,
345,run_development_cycle_demo,scripts/demo-agent-activity.py,run_development_cycle_demo,Simulate a realistic development cycle through the agent chain.,,False,9,4,6,40,cli,run development cycle demo,POST /api/v1/run-development-cycle-demo,
346,initialize_intelligent_memory,ai/enhanced_agency.py,initialize_intelligent_memory,Initialize the intelligent memory store with fallback options.,,False,9,4,8,38,cli,memory initialize intelligent,POST /api/v1/initialize-intelligent-memory,
347,cancel_task,ai/interface/enhanced_dashboard.py,cancel_task,Cancel a running task,,False,5,6,4,36,cli,cancel task,POST /api/v1/cancel-task,
348,do_GET,ai/interface/enhanced_dashboard.py,do_GET,Handle GET requests,,False,5,6,4,36,cli,do GET,POST /api/v1/do-GET,
349,do_POST,ai/interface/enhanced_dashboard.py,do_POST,Handle POST requests,,False,5,6,4,36,cli,do POST,POST /api/v1/do-POST,
350,handle_start_conversation,ai/interface/enhanced_dashboard.py,handle_start_conversation,Start new conversation,,False,5,6,4,36,cli,handle start conversation,POST /api/v1/handle-start-conversation,
351,handle_conversation_api,ai/interface/enhanced_dashboard.py,handle_conversation_api,Handle conversation API calls,,False,5,6,4,36,cli,handle conversation api,POST /api/v1/handle-conversation-api,
352,handle_conversation_post,ai/interface/enhanced_dashboard.py,handle_conversation_post,Handle conversation POST requests,,False,5,6,4,36,cli,handle conversation post,POST /api/v1/handle-conversation-post,
353,handle_tasks_api,ai/interface/enhanced_dashboard.py,handle_tasks_api,Handle tasks API,,False,5,6,4,36,cli,handle tasks api,POST /api/v1/handle-tasks-api,
354,handle_tasks_post,ai/interface/enhanced_dashboard.py,handle_tasks_post,Handle task actions,,False,5,6,4,36,cli,handle tasks post,POST /api/v1/handle-tasks-post,
355,serve_status_api,ai/interface/enhanced_dashboard.py,serve_status_api,Serve system status,,False,5,6,4,36,cli,serve status api,POST /api/v1/serve-status-api,
356,handle_export_api,ai/interface/enhanced_dashboard.py,handle_export_api,Handle results export requests,,False,5,6,4,36,cli,handle export api,POST /api/v1/handle-export-api,
357,export_json,ai/interface/enhanced_dashboard.py,export_json,Export task results as JSON,,False,5,6,4,36,cli,export json,POST /api/v1/export-json,
358,export_markdown,ai/interface/enhanced_dashboard.py,export_markdown,Export task results as Markdown,,False,5,6,4,36,cli,export markdown,POST /api/v1/export-markdown,
359,export_pdf,ai/interface/enhanced_dashboard.py,export_pdf,Export task results as PDF (simplified text format),,False,5,6,4,36,cli,export pdf,POST /api/v1/export-pdf,
360,send_json_response,ai/interface/enhanced_dashboard.py,send_json_response,Send JSON response,,False,5,6,4,36,cli,send json response,POST /api/v1/send-json-response,
361,serve_enhanced_dashboard,ai/interface/enhanced_dashboard.py,serve_enhanced_dashboard,Serve the enhanced dashboard HTML,,False,5,6,4,36,cli,serve enhanced dashboard,POST /api/v1/serve-enhanced-dashboard,
362,signal_handler,ai/interface/enhanced_dashboard.py,signal_handler,Function signal_handler,,False,5,6,4,36,cli,signal handler,POST /api/v1/signal-handler,
363,validate,ai/workflows/types.py,validate,Validate the workflow definition and return any errors.,,False,6,4,4,30,cli,validate,POST /api/v1/validate,
364,build,ai/workflows/language.py,build,Build and validate the workflow definition.,,False,6,4,4,30,cli,build,POST /api/v1/build,
365,MockClock,ai/utils/clock.py,,Test clock with controllable time.,False,False,6,4,4,30,cli,MockClock,POST /api/v1/MockClock,
366,set_clock,ai/utils/clock.py,set_clock,Set the global clock instance (for tests).,,False,6,4,4,30,cli,clock,POST /api/v1/set-clock,
367,validate_changes,ai/autonomous/engine.py,validate_changes,Validate changes before applying them.,,False,6,4,4,30,cli,validate changes,POST /api/v1/validate-changes,
368,validate_safety,ai/autonomous/safety.py,validate_safety,Comprehensive safety validation for proposed changes.,,False,6,4,4,30,cli,validate safety,POST /api/v1/validate-safety,
369,find_failing_tests,ai/loop/repo_scanner.py,find_failing_tests,Find failing tests.,,False,6,4,4,30,cli,find failing tests,POST /api/v1/find-failing-tests,
370,find_failing_tests,ai/loop/repo_scanner.py,find_failing_tests,Find failing tests using pytest.,,False,6,4,4,30,cli,find failing tests,POST /api/v1/find-failing-tests,
371,load_inventory,scripts/analyze_feature_status.py,load_inventory,Load the generated inventory.json.,,False,6,4,4,30,cli,load inventory,POST /api/v1/load-inventory,
372,check_feature,scripts/analyze_feature_status.py,check_feature,"Check if a feature is Implemented, Partial, or Missing.",,False,6,4,4,30,cli,check feature,POST /api/v1/check-feature,
373,generate_feature_matrix,scripts/analyze_feature_status.py,generate_feature_matrix,Generate the feature status matrix.,,False,6,4,4,30,cli,generate feature matrix,POST /api/v1/generate-feature-matrix,
374,write_feature_status,scripts/analyze_feature_status.py,write_feature_status,Write the FEATURE_STATUS.md file.,,False,6,4,4,30,cli,write feature status,POST /api/v1/write-feature-status,
375,main,scripts/analyze_feature_status.py,main,Main analysis function.,,False,6,4,4,30,cli,main,POST /api/v1/main,
376,validate_consolidation,scripts/validate_rule_consolidation.py,validate_consolidation,Validate that all unique requirements are preserved.,,False,6,4,4,30,cli,validate consolidation,POST /api/v1/validate-consolidation,
377,FeatureScanner,scripts/feature_inventory.py,,Scans codebase to identify and validate features.,False,False,6,4,4,30,cli,FeatureScanner,POST /api/v1/FeatureScanner,
378,CodebaseDiagnostic,scripts/diagnostic_scan.py,,Comprehensive codebase bloat analyzer.,False,False,6,4,4,30,cli,CodebaseDiagnostic,POST /api/v1/CodebaseDiagnostic,
379,analyze_all_files,scripts/diagnostic_scan.py,analyze_all_files,Analyze all files in the repository.,,False,6,4,4,30,cli,analyze all files,POST /api/v1/analyze-all-files,
380,analyze_file_sizes,scripts/diagnostic_scan.py,analyze_file_sizes,Analyze file sizes to identify large files and directories.,,False,6,4,4,30,cli,analyze file sizes,POST /api/v1/analyze-file-sizes,
381,analyze_dependencies,scripts/diagnostic_scan.py,analyze_dependencies,Analyze project dependencies for bloat.,,False,6,4,4,30,cli,analyze dependencies,POST /api/v1/analyze-dependencies,
382,generate_report,scripts/diagnostic_scan.py,generate_report,Generate a comprehensive diagnostic report.,,False,6,4,4,30,cli,generate report,POST /api/v1/generate-report,
383,DocumentationAnalyzer,scripts/analyze_documentation_gaps.py,,Class DocumentationAnalyzer,False,False,6,4,4,30,cli,DocumentationAnalyzer,POST /api/v1/DocumentationAnalyzer,
384,main,scripts/analyze_documentation_gaps.py,main,Function main,,False,6,4,4,30,cli,main,POST /api/v1/main,
385,analyze,scripts/analyze_documentation_gaps.py,analyze,Run comprehensive documentation analysis.,,False,6,4,4,30,cli,analyze,POST /api/v1/analyze,
386,DocumentationValidator,scripts/validate_documentation.py,,Class DocumentationValidator,False,False,6,4,4,30,cli,DocumentationValidator,POST /api/v1/DocumentationValidator,
387,main,scripts/validate_documentation.py,main,Function main,,False,6,4,4,30,cli,main,POST /api/v1/main,
388,validate_all,scripts/validate_documentation.py,validate_all,Run all validation checks.,,False,6,4,4,30,cli,validate all,POST /api/v1/validate-all,
389,print_results,scripts/validate_documentation.py,print_results,Print human-readable validation results.,,False,6,4,4,30,cli,print results,POST /api/v1/print-results,
390,get_tests,scripts/inventory_codebase.py,get_tests,Scan for test files and extract test functions.,,False,6,4,4,30,cli,tests,GET /api/v1/tests,
391,reset_to_system_clock,ai/utils/clock.py,reset_to_system_clock,Reset to system clock (cleanup after tests).,,False,6,4,6,28,cli,reto system clock,POST /api/v1/reset-to-system-clock,
392,patch_openai,ai/agency_openai_patch.py,patch_openai,Patch the openai module with cost tracking.,,False,5,4,4,26,cli,patch openai,POST /api/v1/patch-openai,
393,unpatch_openai,ai/agency_openai_patch.py,unpatch_openai,Restore original openai module.,,False,5,4,4,26,cli,unpatch openai,POST /api/v1/unpatch-openai,
394,build_agency,ai/agency.py,build_agency,Construct the basic agency with directional flows.,,False,5,4,4,26,cli,build agency,POST /api/v1/build-agency,
395,get_status_coordinator,ai/coordination/status.py,get_status_coordinator,Get the global status coordinator instance.,,False,5,4,4,26,cli,status coordinator,GET /api/v1/status-coordinator,
396,register_context,ai/coordination/status.py,register_context,Register a new coordination context for status tracking.,,False,5,4,4,26,cli,register context,POST /api/v1/register-context,
397,MCPDiscoverySystem,ai/integration/mcp_discovery.py,,Advanced MCP server discovery and integration system.,False,False,5,4,4,26,api,MCPDiscoverySystem,POST /api/v1/MCPDiscoverySystem,
398,get_mcp_discovery,ai/integration/mcp_discovery.py,get_mcp_discovery,Get the global MCP discovery system instance.,,False,5,4,4,26,cli,mcp discovery,GET /api/v1/mcp-discovery,
399,get_discovery_summary,ai/integration/mcp_discovery.py,get_discovery_summary,Get a summary of discovered servers and capabilities.,,False,5,4,4,26,api,discovery summary,GET /api/v1/discovery-summary,
400,run_mvp,ai/runner/mvp.py,run_mvp,"Run an offline, safe MVP planning pass using local tools.",,False,5,4,4,26,cli,run mvp,POST /api/v1/run-mvp,
401,get_system_metrics,ai/workflows/__init__.py,get_system_metrics,Get comprehensive system metrics.,,False,5,4,4,26,cli,system metrics,GET /api/v1/system-metrics,
402,ConditionNode,ai/workflows/types.py,,Node for conditional workflow branching.,False,False,5,4,4,26,cli,ConditionNode,POST /api/v1/ConditionNode,
403,LoopNode,ai/workflows/types.py,,Node for loop execution with various loop types.,False,False,5,4,4,26,cli,LoopNode,POST /api/v1/LoopNode,
404,WorkflowDefinition,ai/workflows/types.py,,Complete definition of a workflow.,False,False,5,4,4,26,cli,WorkflowDefinition,POST /api/v1/WorkflowDefinition,
405,WorkflowExecution,ai/workflows/types.py,,Runtime execution state of a workflow.,False,False,5,4,4,26,cli,WorkflowExecution,POST /api/v1/WorkflowExecution,
406,evaluate,ai/workflows/types.py,evaluate,Evaluate the condition against the workflow context.,,False,5,4,4,26,cli,evaluate,POST /api/v1/evaluate,
407,evaluate_conditions,ai/workflows/types.py,evaluate_conditions,Evaluate all conditions based on logic operator.,,False,5,4,4,26,cli,evaluate conditions,POST /api/v1/evaluate-conditions,
408,add_node,ai/workflows/types.py,add_node,Add a node to the workflow.,,False,5,4,4,26,cli,add node,POST /api/v1/node,
409,add_edge,ai/workflows/types.py,add_edge,Add an edge to the workflow.,,False,5,4,4,26,cli,add edge,POST /api/v1/edge,
410,connect,ai/workflows/types.py,connect,Convenience method to connect two nodes.,,False,5,4,4,26,cli,connect,POST /api/v1/connect,
411,add_log,ai/workflows/types.py,add_log,Add an entry to the execution log.,,False,5,4,4,26,cli,add log,POST /api/v1/log,
412,set_variable,ai/workflows/types.py,set_variable,Set a workflow variable.,,False,5,4,4,26,cli,variable,POST /api/v1/set-variable,
413,mark_node_completed,ai/workflows/types.py,mark_node_completed,Mark a node as completed.,,False,5,4,4,26,cli,mark node completed,POST /api/v1/mark-node-completed,
414,mark_node_failed,ai/workflows/types.py,mark_node_failed,Mark a node as failed.,,False,5,4,4,26,cli,mark node failed,POST /api/v1/mark-node-failed,
415,calculate_progress,ai/workflows/types.py,calculate_progress,Calculate workflow execution progress as percentage.,,False,5,4,4,26,cli,calculate progress,POST /api/v1/calculate-progress,
416,is_completed,ai/workflows/types.py,is_completed,Check if workflow execution is completed.,,False,5,4,4,26,cli,is completed,POST /api/v1/is-completed,
417,get_workflow_engine,ai/workflows/engine.py,get_workflow_engine,Get the global workflow execution engine instance.,,False,5,4,4,26,cli,workflow engine,GET /api/v1/workflow-engine,
418,get_execution_status,ai/workflows/engine.py,get_execution_status,Get the status of a workflow execution.,,False,5,4,4,26,cli,execution status,GET /api/v1/execution-status,
419,get_execution_log,ai/workflows/engine.py,get_execution_log,Get the execution log for a workflow.,,False,5,4,4,26,cli,execution log,GET /api/v1/execution-log,
420,get_engine_metrics,ai/workflows/engine.py,get_engine_metrics,Get execution engine performance metrics.,,False,5,4,4,26,cli,engine metrics,GET /api/v1/engine-metrics,
421,WorkflowSyntaxError,ai/workflows/language.py,,Exception raised for syntax errors in workflow definitions.,False,False,5,4,4,26,cli,WorkflowSyntaxError,POST /api/v1/WorkflowSyntaxError,
422,WorkflowBuilder,ai/workflows/language.py,,Builder class for creating workflow definitions programmatically.,False,False,5,4,4,26,cli,WorkflowBuilder,POST /api/v1/WorkflowBuilder,
423,WDLParser,ai/workflows/language.py,,Parser for Workflow Definition Language (WDL) files.,False,False,5,4,4,26,cli,WDLParser,POST /api/v1/WDLParser,
424,WDLExporter,ai/workflows/language.py,,Exporter for converting workflow definitions to WDL format.,False,False,5,4,4,26,cli,WDLExporter,POST /api/v1/WDLExporter,
425,parse_workflow,ai/workflows/language.py,parse_workflow,Parse workflow definition from string content.,,False,5,4,4,26,cli,parse workflow,POST /api/v1/parse-workflow,
426,load_workflow,ai/workflows/language.py,load_workflow,Load workflow definition from file.,,False,5,4,4,26,cli,load workflow,POST /api/v1/load-workflow,
427,save_workflow,ai/workflows/language.py,save_workflow,Save workflow definition to file.,,False,5,4,4,26,cli,save workflow,POST /api/v1/save-workflow,
428,add_start,ai/workflows/language.py,add_start,Add a start node to the workflow.,,False,5,4,4,26,cli,add start,POST /api/v1/start,
429,add_end,ai/workflows/language.py,add_end,Add an end node to the workflow.,,False,5,4,4,26,cli,add end,POST /api/v1/end,
430,add_condition,ai/workflows/language.py,add_condition,Add a conditional branch node.,,False,5,4,4,26,cli,add condition,POST /api/v1/condition,
431,add_parallel,ai/workflows/language.py,add_parallel,Add a parallel execution node.,,False,5,4,4,26,cli,add parallel,POST /api/v1/parallel,
432,add_loop,ai/workflows/language.py,add_loop,Add a loop node.,,False,5,4,4,26,cli,add loop,POST /api/v1/loop,
433,call_mcp,ai/workflows/language.py,call_mcp,Add an MCP service call node.,,False,5,4,4,26,cli,call mcp,POST /api/v1/call-mcp,
434,add_human_approval,ai/workflows/language.py,add_human_approval,Add a human approval node.,,False,5,4,4,26,cli,add human approval,POST /api/v1/human-approval,
435,connect,ai/workflows/language.py,connect,Connect two nodes with an edge.,,False,5,4,4,26,cli,connect,POST /api/v1/connect,
436,set_variable,ai/workflows/language.py,set_variable,Set a default workflow variable.,,False,5,4,4,26,cli,variable,POST /api/v1/set-variable,
437,parse_file,ai/workflows/language.py,parse_file,Parse a WDL file and return a workflow definition.,,False,5,4,4,26,cli,parse file,POST /api/v1/parse-file,
438,export_to_yaml,ai/workflows/language.py,export_to_yaml,Export workflow definition to YAML format.,,False,5,4,4,26,cli,export to yaml,POST /api/v1/export-to-yaml,
439,export_to_json,ai/workflows/language.py,export_to_json,Export workflow definition to JSON format.,,False,5,4,4,26,cli,export to json,POST /api/v1/export-to-json,
440,save_to_file,ai/workflows/language.py,save_to_file,Save workflow definition to a file.,,False,5,4,4,26,cli,save to file,POST /api/v1/save-to-file,
